date,newcases,deaths
8/29/2020,260710,5787
8/30/2020,219727,4274
8/31/2020,264310,4430
9/1/2020,266881,6615
9/2/2020,281888,6302
9/3/2020,285413,6099
9/4/2020,301722,5862
9/5/2020,273692,5095
9/6/2020,228988,4135
9/7/2020,225236,5771
9/8/2020,246502,5123
9/9/2020,285293,6265
9/10/2020,304397,6035
9/11/2020,316356,6000
9/12/2020,288688,5057
9/13/2020,248823,3965
9/14/2020,267152,4604
9/15/2020,280530,6564
9/16/2020,304954,5869
9/17/2020,315568,5651
9/18/2020,326625,5855
9/19/2020,293081,5273
9/20/2020,255105,3988
9/21/2020,259929,4429
9/22/2020,284298,6151
9/23/2020,311639,6550
9/24/2020,320899,5660
9/25/2020,330005,6019
9/26/2020,285665,5431
9/27/2020,247064,3883
9/28/2020,262754,4120
9/29/2020,282774,6062
9/30/2020,324526,6426
10/1/2020,319101,8893
10/2/2020,329474,5685
10/3/2020,297289,4781
10/4/2020,260492,4025
10/5/2020,311370,4303
10/6/2020,316053,5860
10/7/2020,349240,5928
10/8/2020,359291,6385
10/9/2020,360384,6192
10/10/2020,355443,4904
10/11/2020,289426,4195
10/12/2020,290034,4131
10/13/2020,319364,5335
10/14/2020,380683,6167
10/15/2020,406931,6210
10/16/2020,410481,6220
10/17/2020,372034,5727
10/18/2020,331183,3981
10/19/2020,374958,4843
10/20/2020,388787,6628
10/21/2020,439485,6909
10/22/2020,482019,5958
10/23/2020,493822,7107
10/24/2020,456218,5918
10/25/2020,358779,4386
10/26/2020,483110,5837
10/27/2020,468402,7411
10/28/2020,521659,7183
10/29/2020,551378,7238
10/30/2020,571718,7774
10/31/2020,472025,6647
11/1/2020,439104,5356
11/2/2020,548423,6326
11/3/2020,565414,9575
11/4/2020,538606,9965
11/5/2020,619273,8717
11/6/2020,623037,9192
11/7/2020,599024,7786
11/8/2020,490822,6401
11/9/2020,509865,7581
11/10/2020,570896,9751
11/11/2020,624628,10416
11/12/2020,640120,9718
11/13/2020,660961,9932
11/14/2020,586676,9138
11/15/2020,490154,6959
11/16/2020,525845,8057
11/17/2020,602076,10974
11/18/2020,622204,11472
11/19/2020,653855,11142
11/20/2020,674148,11752
11/21/2020,592327,9304
11/22/2020,498012,7669
11/23/2020,534320,8729
11/24/2020,590626,12522
11/25/2020,617099,12024
11/26/2020,589026,10935
11/27/2020,695347,11521
11/28/2020,607340,9515
11/29/2020,495524,7657
11/30/2020,506727,9048
12/1/2020,614738,12450
12/2/2020,640265,12390
12/3/2020,690558,12709
12/4/2020,696404,12470
12/5/2020,642084,10601
12/6/2020,543831,8093
12/7/2020,535116,8844
12/8/2020,630408,12038
12/9/2020,665358,12557
12/10/2020,672060,12420
12/11/2020,705734,13185
12/12/2020,648474,10829
12/13/2020,538701,8257
12/14/2020,551207,9193
12/15/2020,648501,13226
12/16/2020,717605,13924
12/17/2020,738532,13171
12/18/2020,721410,13039
12/19/2020,635242,11256
12/20/2020,547173,8374
12/21/2020,546375,9486
12/22/2020,651296,13876
12/23/2020,682087,13747
12/24/2020,693271,12205
12/25/2020,518682,9030
12/26/2020,507054,7941
12/27/2020,413133,8118
12/28/2020,499319,9556
12/29/2020,671662,14973
12/30/2020,725307,15418
12/31/2020,839570,13495
1/1/2021,586637,10158
1/2/2021,581252,8836
1/3/2021,520260,7965
1/4/2021,557630,9950
1/5/2021,740796,15415
1/6/2021,791046,14922
1/7/2021,869883,14964
1/8/2021,835517,15213
1/9/2021,756094,13355
1/10/2021,601501,9555
1/11/2021,614600,10284
1/12/2021,692365,16986
1/13/2021,743300,16483
1/14/2021,759073,15714
1/15/2021,783883,15719
1/16/2021,656789,14034
1/17/2021,527569,9835
1/18/2021,517228,10446
1/19/2021,592754,15709
1/20/2021,687207,17733
1/21/2021,668784,17333
1/22/2021,663567,16070
1/23/2021,576615,14564
1/24/2021,461947,9758
1/25/2021,481598,11142
1/26/2021,561250,17414
1/27/2021,600990,16920
1/28/2021,615082,16567
1/29/2021,588969,15731
1/30/2021,514783,13323
1/31/2021,396545,9547
2/1/2021,443031,10250
2/2/2021,465487,14852
2/3/2021,525270,15867
2/4/2021,471736,12928
2/5/2021,536493,17185
2/6/2021,435142,11857
2/7/2021,351520,7767
2/8/2021,339948,9648
2/9/2021,407212,14737
2/10/2021,440456,13859
2/11/2021,443769,13874
2/12/2021,429589,12884
2/13/2021,380454,10684
2/14/2021,308632,7105
2/15/2021,280874,7818
2/16/2021,359770,11099
2/17/2021,386361,11353
2/18/2021,410794,11990
2/19/2021,409656,11653
2/20/2021,375161,9110
2/21/2021,319553,6790
2/22/2021,295585,7252
2/23/2021,392729,11481
2/24/2021,444964,12446
2/25/2021,452980,10907
2/26/2021,441959,10557
2/27/2021,396713,8731
2/28/2021,307779,6498
3/1/2021,305532,7607
3/2/2021,387601,10249
3/3/2021,441859,11505
3/4/2021,458447,10462
3/5/2021,449116,10483
3/6/2021,414011,8321
3/7/2021,374439,6080
3/8/2021,305520,7190
3/9/2021,414038,10495
3/10/2021,458864,10155
3/11/2021,489685,10214
3/12/2021,489257,9860
3/13/2021,455604,8609
3/14/2021,365072,5920
3/15/2021,354110,7563
3/16/2021,467030,10621
3/17/2021,545719,10590
3/18/2021,547931,10720
3/19/2021,562541,10819
3/20/2021,498430,8786
3/21/2021,440464,8555
3/22/2021,423403,7967
3/23/2021,505874,11456
3/24/2021,631709,10673
3/25/2021,652192,11554
3/26/2021,640037,12773
3/27/2021,584525,10211
3/28/2021,492654,7284
3/29/2021,459305,8665
3/30/2021,562206,11908
3/31/2021,673904,12928
4/1/2021,709823,12303
4/2/2021,644802,10647
4/3/2021,540337,9340
4/4/2021,559922,7429
4/5/2021,497016,8254
4/6/2021,607487,12457
4/7/2021,663157,15362
4/8/2021,836055,14305
4/9/2021,752184,14346
4/10/2021,670625,13008
4/11/2021,709606,9122
4/12/2021,613873,9905
4/13/2021,763801,13796
4/14/2021,811333,14094
4/15/2021,821221,13658
4/16/2021,859871,13379
4/17/2021,794011,12615
4/18/2021,700107,9136
4/19/2021,690967,11134
4/20/2021,839472,14294
4/21/2021,889263,14755
4/22/2021,899372,13923
4/23/2021,907690,15260
4/24/2021,824210,13132
4/25/2021,728479,10773
4/26/2021,689071,11633
4/27/2021,839085,15001
4/28/2021,898824,15946
4/29/2021,894038,15740
4/30/2021,891379,14423
5/1/2021,794898,13040
5/2/2021,687269,10326
5/3/2021,690456,11685
5/4/2021,784947,14092
5/5/2021,842022,14905
5/6/2021,872831,14576
5/7/2021,834839,14469
5/8/2021,788289,13329
5/9/2021,649405,10474
5/10/2021,625660,11092
5/11/2021,725811,14171
5/12/2021,767500,14140
5/13/2021,734689,13440
5/14/2021,709584,13028
5/15/2021,631598,12284
5/16/2021,546621,10302
5/17/2021,543541,11330
5/18/2021,621992,14077
5/19/2021,672071,13457
5/20/2021,631140,13179
5/21/2021,626486,12978
5/22/2021,572349,11445
5/23/2021,481618,9862
5/24/2021,451089,9150
5/25/2021,533397,12983
5/26/2021,568449,12806
5/27/2021,546886,12940
5/28/2021,505519,12021
5/29/2021,480424,10808
5/30/2021,389945,8400
5/31/2021,387054,8696
6/1/2021,460000,10942
6/2/2021,487623,11921
6/3/2021,480510,10164
6/4/2021,424915,10660
6/5/2021,396650,9411
6/6/2021,322980,7306
6/7/2021,321767,8079
6/8/2021,370106,10655
6/9/2021,418294,10183
6/10/2021,453498,8607
6/11/2021,422041,11740
6/12/2021,368374,9809
6/13/2021,302796,9271
6/14/2021,309290,7996
6/15/2021,374759,10751
6/16/2021,389166,10082
6/17/2021,395991,9300
6/18/2021,403501,9194
6/19/2021,348399,8180
6/20/2021,303650,6768
6/21/2021,296652,6983
6/22/2021,410209,8988
6/23/2021,396620,9346
6/24/2021,409233,8659
6/25/2021,417656,9234
6/26/2021,362880,7543
6/27/2021,311207,6094
6/28/2021,332999,6561
6/29/2021,381185,8160
6/30/2021,399458,9208
7/1/2021,435484,8541
7/2/2021,442294,8373
7/3/2021,374413,6917
7/4/2021,328214,6648
7/5/2021,376637,7369
7/6/2021,450449,8484
