rdate,Y,M,D,doy,time,datestr1,datestr2,datestr3,ndvi,blue,green,red,nir,swir1,swir2,sensor
7/1/2002,2002,7,1,182,2002.49726,LT4-2002-07-01,LT4-2002182ndvi,"2002,, 7/  1",0.768905542,565.0759888,762.7557373,542.7050171,4154.119141,1804.953979,704.7470703,LT4
7/17/2002,2002,7,17,198,2002.541096,LT4-2002-07-17,LT4-2002198ndvi,"2002,, 7/ 17",0.767551378,441.7742615,595.758667,495.9281311,3771.063232,1744.545288,770.2316895,LT4
8/18/2002,2002,8,18,230,2002.628767,LT4-2002-08-18,LT4-2002230ndvi,"2002,, 8/ 18",0.503742629,1437.762695,1377.796631,1270.898315,3851.033936,2671.983154,1447.949097,LT4
9/3/2002,2002,9,3,246,2002.672603,LT4-2002-09-03,LT4-2002246ndvi,"2002,, 9/  3",0.787580274,324.9052734,456.138855,375.2529297,3157.874023,1597.94873,673.3798218,LT4
9/19/2002,2002,9,19,262,2002.716438,LT4-2002-09-19,LT4-2002262ndvi,"2002,, 9/ 19",0.708307553,678.9197388,785.0535278,617.3143921,3615.324463,1659.856201,679.588623,LT4
1/9/2003,2003,1,9,9,2003.023288,LT4-2003-01-09,LT4-2003009ndvi,"2003,, 1/  9",0.245109359,840.6832886,978.8149414,1013.120972,1671.031982,1144.505371,834.572937,LT4
3/14/2003,2003,3,14,73,2003.19863,LT4-2003-03-14,LT4-2003073ndvi,"2003,, 3/ 14",0.270995126,740.5430298,910.5576782,1091.878174,1903.652344,1585.303223,920.4033813,LT4
4/15/2003,2003,4,15,105,2003.286301,LT4-2003-04-15,LT4-2003105ndvi,"2003,, 4/ 15",0.459176125,597.1373901,795.4324951,855.2264404,2307.453613,2374.049072,1437.313599,LT4
6/2/2003,2003,6,2,153,2003.417808,LT4-2003-06-02,LT4-2003153ndvi,"2003,, 6/  2",0.792293092,420.5119934,639.3098145,440.2023315,3798.485107,1622.42981,680.4984741,LT4
7/4/2003,2003,7,4,185,2003.505479,LT4-2003-07-04,LT4-2003185ndvi,"2003,, 7/  4",0.759996338,611.5015259,843.2327881,590.0686035,4327.094727,1769.984009,702.2007446,LT4
7/20/2003,2003,7,20,201,2003.549315,LT4-2003-07-20,LT4-2003201ndvi,"2003,, 7/ 20",0.850155366,271.7005615,461.1886597,310.9903259,3839.84668,1634.687256,648.3853149,LT4
8/21/2003,2003,8,21,233,2003.636986,LT4-2003-08-21,LT4-2003233ndvi,"2003,, 8/ 21",0.714011402,842.5029297,930.8196411,656.4949341,3934.561768,1645.675659,626.6187744,LT4
10/8/2003,2003,10,8,281,2003.768493,LT4-2003-10-08,LT4-2003281ndvi,"2003,, 10/  8",0.719914783,299.7783508,447.9544067,395.2979736,2427.399902,1500.368652,615.894104,LT4
10/24/2003,2003,10,24,297,2003.812329,LT4-2003-10-24,LT4-2003297ndvi,"2003,, 10/ 24",0.552844263,372.6998901,513.5714722,548.2539673,1903.929565,1535.739258,720.9685059,LT4
11/9/2003,2003,11,9,313,2003.856164,LT4-2003-11-09,LT4-2003313ndvi,"2003,, 11/  9",0.494582163,326.0840454,426.5829773,513.8684082,1519.571533,1858.372559,1031.5354,LT4
11/25/2003,2003,11,25,329,2003.9,LT4-2003-11-25,LT4-2003329ndvi,"2003,, 11/ 25",0.361516702,583.6558838,679.4865112,750.7871094,1600.995972,1342.385498,762.3496094,LT4
12/27/2003,2003,12,27,361,2003.987671,LT4-2003-12-27,LT4-2003361ndvi,"2003,, 12/ 27",0.162766871,1236.379272,1104.536377,1196.130249,1661.210693,1114.302734,749.0267944,LT4
2/29/2004,2004,2,29,60,2004.163014,LT4-2004-02-29,LT4-2004060ndvi,"2004,, 2/ 29",0.26510449,769.916626,916.3381958,1051.97583,1810.950439,2064.039307,1344.892334,LT4
6/20/2004,2004,6,20,172,2004.469863,LT4-2004-06-20,LT4-2004172ndvi,"2004,, 6/ 20",0.874334974,254.2263184,488.830658,323.2820435,4821.857422,1977.766968,755.9605103,LT4
8/7/2004,2004,8,7,220,2004.60137,LT4-2004-08-07,LT4-2004220ndvi,"2004,, 8/  7",0.779957454,206.0396576,285.7310791,191.8234406,1551.688843,543.4019775,189.5662689,LT4
8/23/2004,2004,8,23,236,2004.645205,LT4-2004-08-23,LT4-2004236ndvi,"2004,, 8/ 23",0.827667158,293.5501099,439.4553528,315.0311584,3341.046875,1551.905396,582.9177856,LT4
9/24/2004,2004,9,24,268,2004.732877,LT4-2004-09-24,LT4-2004268ndvi,"2004,, 9/ 24",0.610619244,694.6671143,852.9453125,755.7006836,3125.850586,1788.046631,860.111084,LT4
10/26/2004,2004,10,26,300,2004.820548,LT4-2004-10-26,LT4-2004300ndvi,"2004,, 10/ 26",0.465938759,429.7545776,575.1044922,620.5289307,1703.282959,1537.034546,800.9586182,LT4
11/11/2004,2004,11,11,316,2004.864384,LT4-2004-11-11,LT4-2004316ndvi,"2004,, 11/ 11",0.427452047,447.9930725,548.6528931,587.4232788,1464.538574,1750.483398,1019.362122,LT4
2/15/2005,2005,2,15,46,2005.124658,LT4-2005-02-15,LT4-2005046ndvi,"2005,, 2/ 15",0.393959363,414.348114,542.9255981,636.5405273,1464.112427,1669.869995,958.3700562,LT4
4/4/2005,2005,4,4,94,2005.256164,LT4-2005-04-04,LT4-2005094ndvi,"2005,, 4/  4",0.388039169,461.2130127,645.3492432,794.7835693,1802.7146,2264.913818,1386.773926,LT4
5/6/2005,2005,5,6,126,2005.343836,LT4-2005-05-06,LT4-2005126ndvi,"2005,, 5/  6",0.574378226,710,1017,907,3355,2263,1211,LT4
5/22/2005,2005,5,22,142,2005.387671,LT4-2005-05-22,LT4-2005142ndvi,"2005,, 5/ 22",0.804979511,311.9293823,608.5494995,406.9383545,3766.349854,1767.132324,742.5145264,LT4
6/7/2005,2005,6,7,158,2005.431507,LT4-2005-06-07,LT4-2005158ndvi,"2005,, 6/  7",0.758108669,475.463562,744.2372437,572.7332153,4162.725586,1824.16394,883.7495728,LT4
6/23/2005,2005,6,23,174,2005.475342,LT4-2005-06-23,LT4-2005174ndvi,"2005,, 6/ 23",0.856857507,229.8297577,444.2475891,317.9177856,4124.058594,1738.156372,707.1793213,LT4
7/9/2005,2005,7,9,190,2005.519178,LT4-2005-07-09,LT4-2005190ndvi,"2005,, 7/  9",0.841616482,327.6047974,510.5919495,365.8968506,4254.493652,1829.259644,710.9187012,LT4
8/10/2005,2005,8,10,222,2005.606849,LT4-2005-08-10,LT4-2005222ndvi,"2005,, 8/ 10",0.843328464,258.8701172,425.3798523,312.7745972,3679.968506,1671.58606,676.552124,LT4
9/11/2005,2005,9,11,254,2005.694521,LT4-2005-09-11,LT4-2005254ndvi,"2005,, 9/ 11",0.800908786,365.3370972,512.3932495,369.6475525,3343.701172,1565.705811,624.6043701,LT4
9/27/2005,2005,9,27,270,2005.738356,LT4-2005-09-27,LT4-2005270ndvi,"2005,, 9/ 27",0.829084306,209.4988098,363.2313232,264.5953674,2831.61377,1395.509644,545.5758057,LT4
10/13/2005,2005,10,13,286,2005.782192,LT4-2005-10-13,LT4-2005286ndvi,"2005,, 10/ 13",0.613887961,736.5164795,877.322876,753.0194702,3147.503662,1671.381226,808.5644531,LT4
10/29/2005,2005,10,29,302,2005.826027,LT4-2005-10-29,LT4-2005302ndvi,"2005,, 10/ 29",0.652078667,371.2535095,531.1850586,503.6224365,2391.413818,1491.654663,658.4937744,LT4
11/14/2005,2005,11,14,318,2005.869863,LT4-2005-11-14,LT4-2005318ndvi,"2005,, 11/ 14",0.483686596,367.6063843,486.1373901,599.1777344,1721.806885,1955.913818,1065.196289,LT4
2/2/2006,2006,2,2,33,2006.089041,LT4-2006-02-02,LT4-2006033ndvi,"2006,, 2/  2",0.342301513,585.1676636,719.9260864,795.4738159,1623.488159,2022.731689,1207.38208,LT4
4/7/2006,2006,4,7,97,2006.264384,LT4-2006-04-07,LT4-2006097ndvi,"2006,, 4/  7",0.385493081,696.0614014,803.8616943,904.0247803,2038.252197,1988.392212,1100.563599,LT4
4/23/2006,2006,4,23,113,2006.308219,LT4-2006-04-23,LT4-2006113ndvi,"2006,, 4/ 23",0.595608618,455.4925537,664.0212402,656.4247437,2590.057617,2176.549805,1177.316406,LT4
5/9/2006,2006,5,9,129,2006.352055,LT4-2006-05-09,LT4-2006129ndvi,"2006,, 5/  9",0.733814463,376.7234192,650.8478394,521.9390259,3399.679199,2029.192261,938.1975708,LT4
8/13/2006,2006,8,13,225,2006.615068,LT4-2006-08-13,LT4-2006225ndvi,"2006,, 8/ 13",0.86140122,237.0502625,386.8353271,273.0683594,3667.34668,1601.462036,595.7999268,LT4
11/1/2006,2006,11,1,305,2006.834247,LT4-2006-11-01,LT4-2006305ndvi,"2006,, 11/  1",0.471062055,491.8869629,613.6710815,669.6203613,1862.322632,1659.512939,879.423645,LT4
1/4/2007,2007,1,4,4,2007.009589,LT4-2007-01-04,LT4-2007004ndvi,"2007,, 1/  4",0.368765109,477.4893799,572.4085083,672.0292358,1457.223267,1748.333008,1018.340942,LT4
3/9/2007,2007,3,9,68,2007.184932,LT4-2007-03-09,LT4-2007068ndvi,"2007,, 3/  9",0.303845724,618.7939453,770.0151367,909.9499512,1704.269287,1878.634033,1141.542847,LT4
3/25/2007,2007,3,25,84,2007.228767,LT4-2007-03-25,LT4-2007084ndvi,"2007,, 3/ 25",0.37427636,605.0865479,774.2494507,862.9110718,1895.210938,1965.616211,1167.126831,LT4
5/12/2007,2007,5,12,132,2007.360274,LT4-2007-05-12,LT4-2007132ndvi,"2007,, 5/ 12",0.709189843,447.773468,742.9752197,570.7327271,3354.389648,1937.782837,919.6748657,LT4
5/28/2007,2007,5,28,148,2007.40411,LT4-2007-05-28,LT4-2007148ndvi,"2007,, 5/ 28",0.834114986,318.849762,572.4144287,372.1446533,4114.633789,1664.970093,658.5317993,LT4
6/13/2007,2007,6,13,164,2007.447945,LT4-2007-06-13,LT4-2007164ndvi,"2007,, 6/ 13",0.714610746,769.2748413,1009.525024,806.2541504,4843.952637,2073.300293,946.1139526,LT4
7/15/2007,2007,7,15,196,2007.535616,LT4-2007-07-15,LT4-2007196ndvi,"2007,, 7/ 15",0.767364865,463.1216431,641.7914429,506.343811,3846.771729,1864.217041,847.8892212,LT4
7/31/2007,2007,7,31,212,2007.579452,LT4-2007-07-31,LT4-2007212ndvi,"2007,, 7/ 31",0.85947166,227.3168488,402.3732605,279.8737488,3703.290771,1609.933228,625.539978,LT4
8/16/2007,2007,8,16,228,2007.623288,LT4-2007-08-16,LT4-2007228ndvi,"2007,, 8/ 16",0.661082756,1044.576538,1155.128784,852.8740845,4180.060059,1762.975464,673.2435913,LT4
9/1/2007,2007,9,1,244,2007.667123,LT4-2007-09-01,LT4-2007244ndvi,"2007,, 9/  1",0.844537481,206.6166229,363.4994812,260.9655457,3096.313721,1462.095825,560.2940063,LT4
9/17/2007,2007,9,17,260,2007.710959,LT4-2007-09-17,LT4-2007260ndvi,"2007,, 9/ 17",0.837072128,205.067215,355.3886108,258.4432983,2914.043945,1399.360474,538.6760864,LT4
5/30/2008,2008,5,30,151,2008.412329,LT4-2008-05-30,LT4-2008151ndvi,"2008,, 5/ 30",0.818070233,276.8274841,562.4120483,380.2098389,3799.533203,1727.27771,704.1554565,LT4
6/15/2008,2008,6,15,167,2008.456164,LT4-2008-06-15,LT4-2008167ndvi,"2008,, 6/ 15",0.868691837,221.3408356,449.118042,276.937439,3941.192383,1609.881836,597.178894,LT4
7/1/2008,2008,7,1,183,2008.5,LT4-2008-07-01,LT4-2008183ndvi,"2008,, 7/  1",0.863128824,211.4819794,423.947113,275.8778687,3755.326904,1547.416382,585.3262939,LT4
7/17/2008,2008,7,17,199,2008.543836,LT4-2008-07-17,LT4-2008199ndvi,"2008,, 7/ 17",0.81811533,357.7203369,531.819397,369.0916748,3689.432617,1614.975098,621.8076782,LT4
8/18/2008,2008,8,18,231,2008.631507,LT4-2008-08-18,LT4-2008231ndvi,"2008,, 8/ 18",0.826439909,245.9092407,401.3320923,307.5239258,3236.193115,1559.498291,620.3427734,LT4
9/3/2008,2008,9,3,247,2008.675342,LT4-2008-09-03,LT4-2008247ndvi,"2008,, 9/  3",0.800960877,252.6762238,404.2578125,323.0316162,2922.87915,1509.148804,621.4827881,LT4
9/19/2008,2008,9,19,263,2008.719178,LT4-2008-09-19,LT4-2008263ndvi,"2008,, 9/ 19",0.727120106,307.6800842,469.7184143,408.8372498,2587.625732,1541.263306,712.3924561,LT4
10/5/2008,2008,10,5,279,2008.763014,LT4-2008-10-05,LT4-2008279ndvi,"2008,, 10/  5",0.728283774,271.6392517,419.0195618,358.4118042,2279.721436,1438.216919,644.6604004,LT4
5/17/2009,2009,5,17,137,2009.373973,LT4-2009-05-17,LT4-2009137ndvi,"2009,, 5/ 17",0.790361887,308.9035645,587.0861816,411.119751,3511.06543,1734.661499,757.4064331,LT4
8/21/2009,2009,8,21,233,2009.636986,LT4-2009-08-21,LT4-2009233ndvi,"2009,, 8/ 21",0.821362105,417.3159485,545.3845825,379.5574036,3869.903809,1580.878662,560.8936768,LT4
12/11/2009,2009,12,11,345,2009.943836,LT4-2009-12-11,LT4-2009345ndvi,"2009,, 12/ 11",0.353645019,611.6012573,693.3480835,942.7721558,1974.424072,2234.379639,1370.740479,LT4
3/17/2010,2010,3,17,76,2010.206849,LT4-2010-03-17,LT4-2010076ndvi,"2010,, 3/ 17",0.345506025,483.296936,642.088623,836.0725708,1718.794556,2492.453125,1624.227417,LT4
5/20/2010,2010,5,20,140,2010.382192,LT4-2010-05-20,LT4-2010140ndvi,"2010,, 5/ 20",0.822592584,321.6493835,535.9754639,379.0400391,3894.0625,1644.654419,706.8986816,LT4
6/21/2010,2010,6,21,172,2010.469863,LT4-2010-06-21,LT4-2010172ndvi,"2010,, 6/ 21",0.785208356,481.6615295,629.3327026,503.8013611,4187.269043,1887.700073,840.0491943,LT4
8/8/2010,2010,8,8,220,2010.60137,LT4-2010-08-08,LT4-2010220ndvi,"2010,, 8/  8",0.833810549,258.9364319,403.6576843,298.9158325,3298.374268,1604.101196,625.4290771,LT4
9/25/2010,2010,9,25,268,2010.732877,LT4-2010-09-25,LT4-2010268ndvi,"2010,, 9/ 25",0.754973257,282.0220642,408.5974121,385.2643127,2759.407227,1802.476807,753.1209106,LT4
11/12/2010,2010,11,12,316,2010.864384,LT4-2010-11-12,LT4-2010316ndvi,"2010,, 11/ 12",0.472395426,298.5065308,401.549408,549.1858521,1532.622681,2010.522339,1096.562866,LT4
11/28/2010,2010,11,28,332,2010.908219,LT4-2010-11-28,LT4-2010332ndvi,"2010,, 11/ 28",0.423120538,345.5818176,426.2400818,592.1776123,1460.859985,1959.17749,1118.137573,LT4
3/20/2011,2011,3,20,79,2011.215068,LT4-2011-03-20,LT4-2011079ndvi,"2011,, 3/ 20",0.301635602,697.1254272,802.5041504,1004.638916,1872.480591,2415.914307,1559.658325,LT4
6/8/2011,2011,6,8,159,2011.434247,LT4-2011-06-08,LT4-2011159ndvi,"2011,, 6/  8",0.837647028,291.6013794,534.5236816,350.5614624,3967.948486,1781.226318,688.187561,LT4
7/10/2011,2011,7,10,191,2011.521918,LT4-2011-07-10,LT4-2011191ndvi,"2011,, 7/ 10",0.873882418,209.2532654,389.1514893,263.6929321,3918.006836,1724.437622,650.5887451,LT4
7/26/2011,2011,7,26,207,2011.565753,LT4-2011-07-26,LT4-2011207ndvi,"2011,, 7/ 26",0.856480669,287.9232483,435.5552063,307.265564,3974.604492,1758.218262,641.8531494,LT4
8/11/2011,2011,8,11,223,2011.609589,LT4-2011-08-11,LT4-2011223ndvi,"2011,, 8/ 11",0.860631763,285.7112427,392.7165833,287.5764771,3839.281738,1712.194824,641.4110107,LT4
9/12/2011,2011,9,12,255,2011.69726,LT4-2011-09-12,LT4-2011255ndvi,"2011,, 9/ 12",0.801450662,304.5831909,394.784729,311.2302856,2823.812012,1479.227539,589.6619873,LT4
9/28/2011,2011,9,28,271,2011.741096,LT4-2011-09-28,LT4-2011271ndvi,"2011,, 9/ 28",0.739683092,325.6673584,434.5146179,384.6624451,2570.677246,1552.03125,671.8764038,LT4
7/17/1999,1999,7,17,198,1999.541096,LE7-1999-07-17,LE7-1999198ndvi,"1999,, 7/ 17",0.816445345,395.1915283,544.3690186,382.169342,3781.923828,1874.604492,763.9533691,LE7
9/3/1999,1999,9,3,246,1999.672603,LE7-1999-09-03,LE7-1999246ndvi,"1999,, 9/  3",0.839253831,193.2627106,365.2688599,256.8190613,2938.517578,1617.759521,669.5123291,LE7
9/19/1999,1999,9,19,262,1999.716438,LE7-1999-09-19,LE7-1999262ndvi,"1999,, 9/ 19",0.659625795,411.5917358,589.0409546,544.1569214,2653.24707,1722.752441,914.0333252,LE7
10/21/1999,1999,10,21,294,1999.80411,LE7-1999-10-21,LE7-1999294ndvi,"1999,, 10/ 21",0.549337259,329.5858154,467.0932617,588.7428589,2024.044067,1737.361084,888.8447876,LE7
11/6/1999,1999,11,6,310,1999.847945,LE7-1999-11-06,LE7-1999310ndvi,"1999,, 11/  6",0.420807373,526.4291992,593.5647583,718.392334,1762.275757,2014.53833,1140.900513,LE7
11/22/1999,1999,11,22,326,1999.891781,LE7-1999-11-22,LE7-1999326ndvi,"1999,, 11/ 22",0.406141443,527.5159912,582.2217407,718.3345947,1700.876465,1943.30127,1090.393433,LE7
12/8/1999,1999,12,8,342,1999.935616,LE7-1999-12-08,LE7-1999342ndvi,"1999,, 12/  8",0.457476881,313.655304,406.8694458,538.8186035,1447.52478,1566.703735,913.1916504,LE7
12/24/1999,1999,12,24,358,1999.979452,LE7-1999-12-24,LE7-1999358ndvi,"1999,, 12/ 24",0.410634366,589.3206177,679.9459229,880.7555542,2108.070068,2508.065186,1537.665894,LE7
4/14/2000,2000,4,14,105,2000.286301,LE7-2000-04-14,LE7-2000105ndvi,"2000,, 4/ 14",0.483956481,443.1941223,616.8782959,739.5132446,2126.575439,2377.446777,1440.13147,LE7
4/30/2000,2000,4,30,121,2000.330137,LE7-2000-04-30,LE7-2000121ndvi,"2000,, 4/ 30",0.630817987,367.822937,601.2354126,607.6865845,2684.383789,2215.58667,1221.543335,LE7
5/16/2000,2000,5,16,137,2000.373973,LE7-2000-05-16,LE7-2000137ndvi,"2000,, 5/ 16",0.724998688,495.6676941,760.7388916,585.132019,3670.353271,1816.632813,905.2266846,LE7
8/20/2000,2000,8,20,233,2000.636986,LE7-2000-08-20,LE7-2000233ndvi,"2000,, 8/ 20",0.885762783,196.9645233,353.9074402,212.006134,3499.67627,1598.359863,617.3583374,LE7
9/5/2000,2000,9,5,249,2000.680822,LE7-2000-09-05,LE7-2000249ndvi,"2000,, 9/  5",0.869049226,159.2875061,332.3804016,215.1666107,3071.054688,1495.448242,607.2811279,LE7
10/7/2000,2000,10,7,281,2000.768493,LE7-2000-10-07,LE7-2000281ndvi,"2000,, 10/  7",0.735345488,439.2853394,523.6062012,433.7332153,2843.998291,1530.923096,646.9926147,LE7
10/23/2000,2000,10,23,297,2000.812329,LE7-2000-10-23,LE7-2000297ndvi,"2000,, 10/ 23",0.48591919,506.3713074,622.5667114,724.3386841,2093.656738,1795.148926,935.6098022,LE7
11/24/2000,2000,11,24,329,2000.9,LE7-2000-11-24,LE7-2000329ndvi,"2000,, 11/ 24",0.371467938,698.2843018,766.4892578,907.9469604,1981.156128,1762.46936,1045.208252,LE7
12/26/2000,2000,12,26,361,2000.987671,LE7-2000-12-26,LE7-2000361ndvi,"2000,, 12/ 26",0.157469939,1432.482544,1333.758789,1314.735352,1806.186768,1132.054443,740.1556396,LE7
1/11/2001,2001,1,11,11,2001.028767,LE7-2001-01-11,LE7-2001011ndvi,"2001,, 1/ 11",0.136825347,1602.216064,1405.738647,1413.210205,1861.237671,1270.589355,782.5481567,LE7
2/12/2001,2001,2,12,43,2001.116438,LE7-2001-02-12,LE7-2001043ndvi,"2001,, 2/ 12",0.358278211,543.9993286,639.3370972,797.0202637,1686.985352,2164.588135,1341.755493,LE7
5/3/2001,2001,5,3,123,2001.335616,LE7-2001-05-03,LE7-2001123ndvi,"2001,, 5/  3",0.734549401,431.0643616,659.0548096,511.388031,3341.592773,2067.498047,963.2399902,LE7
6/4/2001,2001,6,4,155,2001.423288,LE7-2001-06-04,LE7-2001155ndvi,"2001,, 6/  4",0.745544089,658.8475342,913.6838989,700.2868652,4803.90332,1937.759766,964.3193359,LE7
6/20/2001,2001,6,20,171,2001.467123,LE7-2001-06-20,LE7-2001171ndvi,"2001,, 6/ 20",0.867257337,323.8040466,521.7628784,322.4753723,4536.179199,1896.124023,734.6209717,LE7
7/6/2001,2001,7,6,187,2001.510959,LE7-2001-07-06,LE7-2001187ndvi,"2001,, 7/  6",0.891563328,166.5913849,378.1378479,227.8502197,3974.606689,1663.775024,658.5365601,LE7
7/22/2001,2001,7,22,203,2001.554795,LE7-2001-07-22,LE7-2001203ndvi,"2001,, 7/ 22",0.823126013,459.3329773,611.2230225,403.4841309,4158.906738,1802.752808,697.4343262,LE7
8/7/2001,2001,8,7,219,2001.59863,LE7-2001-08-07,LE7-2001219ndvi,"2001,, 8/  7",0.88433842,197.3677979,356.6591492,218.514267,3559.996582,1623.106079,631.9335938,LE7
9/8/2001,2001,9,8,251,2001.686301,LE7-2001-09-08,LE7-2001251ndvi,"2001,, 9/  8",0.791300945,394.7941589,510.0715332,362.8586426,3114.47998,1559.85437,614.5926514,LE7
11/11/2001,2001,11,11,315,2001.861644,LE7-2001-11-11,LE7-2001315ndvi,"2001,, 11/ 11",0.497379681,392.0585632,482.4923096,601.6127319,1792.292603,2000.605469,1139.761963,LE7
5/22/2002,2002,5,22,142,2002.387671,LE7-2002-05-22,LE7-2002142ndvi,"2002,, 5/ 22",0.813761361,277.8187256,549.0171509,353.127594,3439.077881,1704.139526,777.9519043,LE7
6/23/2002,2002,6,23,174,2002.475342,LE7-2002-06-23,LE7-2002174ndvi,"2002,, 6/ 23",0.865849417,274.414978,485.9447327,299.4286499,4164.63916,1745.636841,692.7315063,LE7
8/10/2002,2002,8,10,222,2002.606849,LE7-2002-08-10,LE7-2002222ndvi,"2002,, 8/ 10",0.824176851,258.5102844,404.7252502,314.7360535,3265.407471,1656.734009,715.1603394,LE7
4/23/2003,2003,4,23,113,2003.308219,LE7-2003-04-23,LE7-2003113ndvi,"2003,, 4/ 23",0.629511895,400.7701721,607.4425049,600.6107178,2641.656494,2091.88623,1144.858398,LE7
8/13/2003,2003,8,13,225,2003.615068,LE7-2003-08-13,LE7-2003225ndvi,"2003,, 8/ 13",0.870636614,301.7338867,441.61026,254.2944336,3677.180176,1599.660767,583.1107788,LE7
9/30/2003,2003,9,30,273,2003.746575,LE7-2003-09-30,LE7-2003273ndvi,"2003,, 9/ 30",0.840371483,190.4564972,330.0750732,229.3502808,2644.199951,1355.004639,548.5935669,LE7
1/20/2004,2004,1,20,20,2004.053425,LE7-2004-01-20,LE7-2004020ndvi,"2004,, 1/ 20",0.095945209,987.7671509,766.8969727,604.5038452,732.8129883,261.7709961,138.9580078,LE7
4/9/2004,2004,4,9,100,2004.272603,LE7-2004-04-09,LE7-2004100ndvi,"2004,, 4/  9",0.446076502,409.6129761,562.867981,709.624939,1852.551758,2118.150635,1317.091309,LE7
5/11/2004,2004,5,11,132,2004.360274,LE7-2004-05-11,LE7-2004132ndvi,"2004,, 5/ 11",0.789016835,409.4085083,649.3444824,419.6166382,3558.109619,1754.277588,762.1586304,LE7
11/3/2004,2004,11,3,308,2004.842466,LE7-2004-11-03,LE7-2004308ndvi,"2004,, 11/  3",0.492081973,431.9416504,518.9509888,587.7457275,1726.58728,1808.473877,1032.991333,LE7
12/5/2004,2004,12,5,340,2004.930137,LE7-2004-12-05,LE7-2004340ndvi,"2004,, 12/  5",0.434279165,523.9086914,574.3978271,623.18927,1579.979614,1792.223022,1043.626831,LE7
4/12/2005,2005,4,12,102,2005.278082,LE7-2005-04-12,LE7-2005102ndvi,"2005,, 4/ 12",0.376324095,745.0139771,901.6325684,1002.043335,2211.302979,2251.157959,1491.578125,LE7
8/2/2005,2005,8,2,214,2005.584932,LE7-2005-08-02,LE7-2005214ndvi,"2005,, 8/  2",0.847571295,300.480957,444.0602722,314.4438782,3811.339111,1811.0979,710.4458008,LE7
8/18/2005,2005,8,18,230,2005.628767,LE7-2005-08-18,LE7-2005230ndvi,"2005,, 8/ 18",0.84940626,264.0586853,398.921875,279.5058594,3432.545654,1597.989868,621.7801514,LE7
10/21/2005,2005,10,21,294,2005.80411,LE7-2005-10-21,LE7-2005294ndvi,"2005,, 10/ 21",0.341895878,1562.665405,1625.268311,1606.165771,3275.024658,2636.657959,1815.046631,LE7
12/24/2005,2005,12,24,358,2005.979452,LE7-2005-12-24,LE7-2005358ndvi,"2005,, 12/ 24",0.189077169,1184,1147,1257.857178,1844.428589,1240.285767,727.8571167,LE7
3/30/2006,2006,3,30,89,2006.242466,LE7-2006-03-30,LE7-2006089ndvi,"2006,, 3/ 30",0.395813249,481.5704651,625.0296631,802.4821777,1853.922241,2418.457764,1529.137939,LE7
6/18/2006,2006,6,18,169,2006.461644,LE7-2006-06-18,LE7-2006169ndvi,"2006,, 6/ 18",0.757554923,786.1513672,952.0474243,687.0328369,4980.500977,2122.664063,981.0799561,LE7
8/5/2006,2006,8,5,217,2006.593151,LE7-2006-08-05,LE7-2006217ndvi,"2006,, 8/  5",0.896644183,194.6244812,360.2921753,199.8648987,3667.646484,1542.50061,558.3082886,LE7
8/21/2006,2006,8,21,233,2006.636986,LE7-2006-08-21,LE7-2006233ndvi,"2006,, 8/ 21",0.906554596,161.5488434,324.5081177,178.038208,3632.490723,1550.456055,562.8890991,LE7
9/6/2006,2006,9,6,249,2006.680822,LE7-2006-09-06,LE7-2006249ndvi,"2006,, 9/  6",0.491812224,1534.139648,1524.666382,1249.695435,3668.547363,1638.119019,616.2335815,LE7
10/8/2006,2006,10,8,281,2006.768493,LE7-2006-10-08,LE7-2006281ndvi,"2006,, 10/  8",0.776070467,258.9192505,383.9451904,314.6304932,2495.454346,1392.580078,551.0316162,LE7
11/9/2006,2006,11,9,313,2006.856164,LE7-2006-11-09,LE7-2006313ndvi,"2006,, 11/  9",0.50651424,356.6488037,453.6966858,550.5745239,1680.794922,1829.02771,1019.557617,LE7
11/25/2006,2006,11,25,329,2006.9,LE7-2006-11-25,LE7-2006329ndvi,"2006,, 11/ 25",0.438990283,427.8646545,516.7163696,612.1592407,1570.188843,1877.880737,1124.921265,LE7
4/2/2007,2007,4,2,92,2007.250685,LE7-2007-04-02,LE7-2007092ndvi,"2007,, 4/  2",0.47207351,390.9836121,529.0742798,660.6223145,1842.083374,2235.770996,1356.762939,LE7
5/4/2007,2007,5,4,124,2007.338356,LE7-2007-05-04,LE7-2007124ndvi,"2007,, 5/  4",0.638433049,352.3733521,583.1935425,549.7960815,2491.389404,2058.248535,1114.92395,LE7
6/21/2007,2007,6,21,172,2007.469863,LE7-2007-06-21,LE7-2007172ndvi,"2007,, 6/ 21",0.862140628,238.7627716,435.4187317,296.5406494,4005.533936,1712.613892,696.9005127,LE7
7/7/2007,2007,7,7,188,2007.513699,LE7-2007-07-07,LE7-2007188ndvi,"2007,, 7/  7",0.877110901,248.9007111,414.7426453,270.7370605,4135.464355,1761.18103,700.2555542,LE7
8/8/2007,2007,8,8,220,2007.60137,LE7-2007-08-08,LE7-2007220ndvi,"2007,, 8/  8",0.843959453,459.6253967,560.7453613,351.8726196,4158.142578,1769.153442,620.3031006,LE7
8/24/2007,2007,8,24,236,2007.645205,LE7-2007-08-24,LE7-2007236ndvi,"2007,, 8/ 24",0.835778266,349.855896,460.7459412,302.0755005,3376.798096,1551.434204,577.4463501,LE7
