rdate,Y,M,D,doy,time,datestr1,datestr2,datestr3,ndvi,blue,green,red,nir,swir1,swir2,sensor
6/24/1988,1988,6,24,176,1988.480822,LT4-1988-06-24,LT4-1988176ndvi,"1988,, 6/ 24",0.811048752,282.4577637,512.5535278,422.5193787,4049.73877,1883.479858,825.689209,LT4
8/11/1988,1988,8,11,224,1988.612329,LT4-1988-08-11,LT4-1988224ndvi,"1988,, 8/ 11",0.803737504,601.8699951,755.8629761,474.412384,4360.055664,1936.814453,769.9421387,LT4
10/14/1988,1988,10,14,288,1988.787671,LT4-1988-10-14,LT4-1988288ndvi,"1988,, 10/ 14",0.742020268,307.9425659,462.7929077,399.2561035,2695.995605,1453.095215,611.1595459,LT4
11/15/1988,1988,11,15,320,1988.875342,LT4-1988-11-15,LT4-1988320ndvi,"1988,, 11/ 15",0.449583558,435.3565369,583.1791382,700.3786011,1844.525757,1872.812744,1071.77417,LT4
3/23/1989,1989,3,23,82,1989.223288,LT4-1989-03-23,LT4-1989082ndvi,"1989,, 3/ 23",0.293400091,678.6169434,864.7345581,1044.114014,1911.204834,2250.309326,1493.818481,LT4
4/24/1989,1989,4,24,114,1989.310959,LT4-1989-04-24,LT4-1989114ndvi,"1989,, 4/ 24",0.412119846,522.2501831,740.7643433,893.1196289,2145.321533,2438.729004,1561.782471,LT4
6/11/1989,1989,6,11,162,1989.442466,LT4-1989-06-11,LT4-1989162ndvi,"1989,, 6/ 11",0.859099957,233.6220856,482.6400452,304.8039246,4021.723145,1668.926147,669.1533203,LT4
7/29/1989,1989,7,29,210,1989.573973,LT4-1989-07-29,LT4-1989210ndvi,"1989,, 7/ 29",0.80020455,450.1171265,594.088623,424.7514954,3827.112061,1736.840942,673.6013794,LT4
8/14/1989,1989,8,14,226,1989.617808,LT4-1989-08-14,LT4-1989226ndvi,"1989,, 8/ 14",0.803411146,463.5346985,606.6618042,420.1008301,3853.802002,1840.578857,731.0327759,LT4
8/30/1989,1989,8,30,242,1989.661644,LT4-1989-08-30,LT4-1989242ndvi,"1989,, 8/ 30",0.840550654,204.4314728,379.9319763,275.7572021,3183.111816,1554.344604,595.2509766,LT4
